民國108年第4季,民國108年第4季,民國108年第4季,民國108年第4季,民國108年第4季,民國108年第4季,民國108年第4季,民國109年第1季,民國109年第1季,民國109年第1季,民國109年第1季,民國109年第1季,民國109年第1季,民國109年第1季,民國109年第1季,民國109年第1季,民國109年第2季,民國109年第2季,民國109年第2季,民國109年第2季,民國109年第2季,民國109年第2季,民國109年第2季,民國109年第2季,民國109年第2季,民國109年第3季,民國109年第3季,民國109年第3季,民國109年第3季,民國109年第3季,民國109年第3季,民國109年第3季,民國109年第3季,民國109年第3季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
107年12月31日,107年12月31日,108年12月31日,108年12月31日,Unnamed: 5_level_2,Unnamed: 6_level_2,會計項目,108年03月31日,108年03月31日,108年12月31日,108年12月31日,109年03月31日,109年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2,會計項目,108年06月30日,108年06月30日,108年12月31日,108年12月31日,109年06月30日,109年06月30日,Unnamed: 7_level_2,Unnamed: 8_level_2,會計項目,108年09月30日,108年09月30日,108年12月31日,108年12月31日,109年09月30日,109年09月30日,Unnamed: 7_level_2,Unnamed: 8_level_2,會計項目
%,金額,%,金額,Unnamed: 5_level_3,Unnamed: 6_level_3,Unnamed: 0_level_3,%,金額,%,金額,%,金額,Unnamed: 7_level_3,Unnamed: 8_level_3,Unnamed: 0_level_3,%,金額,%,金額,%,金額,Unnamed: 7_level_3,Unnamed: 8_level_3,Unnamed: 0_level_3,%,金額,%,金額,%,金額,Unnamed: 7_level_3,Unnamed: 8_level_3,Unnamed: 0_level_3
,,,,,,,28.77,2511413.0,30.33,2746219.0,26.43,2294650.0,,,透過其他綜合損益按公允價值衡量之金融資產－非流動,,,,,,,,,,,,,,,,,,
,,,,,,,33.71,2942461.0,33.5,3033370.0,35.28,3062269.0,,,採用權益法之投資,,,,,,,,,,,,,,,,,,
,,,,,,,4.07,355393.0,3.9,353059.0,4.06,352335.0,,,不動產、廠房及設備,,,,,,,,,,,,,,,,,,
,,,,,,,15.48,1351480.0,14.88,1347071.0,15.5,1345642.0,,,投資性不動產淨額,,,,,,,,,,,,,,,,,,
,,,,,,,0.0,0.0,0.11,9802.0,0.06,4886.0,,,遞延所得稅資產,,,,,,,,,,,,,,,,,,
,,,,,,,0.73,63418.0,0.71,64439.0,0.73,63620.0,,,其他非流動資產,,,,,,,,,,,,,,,,,,
,,,,,,,82.77,7224165.0,83.43,7553960.0,82.06,7123402.0,,,非流動資產合計,,,,,,,,,,,,,,,,,,
,,,,,,,100.0,8728322.0,100.0,9053897.0,100.0,8680654.0,,,資產總額,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,流動負債,,,,,,,,,,,,,,,,,,
,,,,,,,0.03,2260.0,0.03,2589.0,0.02,1469.0,,,應付帳款,,,,,,,,,,,,,,,,,,
,,,,,,,1.23,107659.0,1.25,113429.0,1.37,118549.0,,,其他應付款,,,,,,,,,,,,,,,,,,
,,,,,,,0.52,45503.0,0.28,25408.0,0.41,35387.0,,,本期所得稅負債,,,,,,,,,,,,,,,,,,
,,,,,,,0.0,198.0,0.0,225.0,0.0,99.0,,,其他流動負債,,,,,,,,,,,,,,,,,,
,,,,,,,1.78,155620.0,1.56,141651.0,1.79,155504.0,,,流動負債合計,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,非流動負債,,,,,,,,,,,,,,,,,,
,,,,,,,11.17,974717.0,11.07,1002476.0,11.56,1003299.0,,,遞延所得稅負債,,,,,,,,,,,,,,,,,,
,,,,,,,1.2,104994.0,1.19,107606.0,1.24,107723.0,,,其他非流動負債,,,,,,,,,,,,,,,,,,
,,,,,,,12.37,1079711.0,12.26,1110082.0,12.8,1111022.0,,,非流動負債合計,,,,,,,,,,,,,,,,,,
